source,target,nu_gap,within_median,separation,n_reps,max_r2,mean_r2,p_global,q_global
259595_at,260073_at,0.4603619141829795,0.6521257730142452,-0.19176385883126573,2,0.5867975094669011,0.1895990316388761,0.13193383668659714,0.40281066362303525
247443_at,252123_at,0.46033685401734525,0.1811449640050572,0.27919189001228806,2,0.5871764012074014,-1.72169769468609,0.13197748003316895,0.4028615948223923
252429_at,253322_at,0.460287068572506,0.1116832827881997,0.3486037857843063,2,0.7021454367848827,0.38240453278619696,0.13206476672631257,0.4030456994331214
250971_at,253922_at,0.46012801988145957,0.5863908619492448,-0.12626284206778526,2,0.6343665549726001,0.4777457131333262,0.13219569676602802,0.4033628958705311
252956_at,248148_at,0.45924425173841854,0.5841406704428111,-0.12489641870439261,2,0.9184433774290152,0.7145617609852934,0.13263213023174616,0.4034778286249651
261230_at,248080_at,0.4594379882707203,0.4325841075238374,0.026853880746882886,2,0.7465813119727318,0.13315117242262597,0.13258848688517436,0.4034778286249651
253922_at,265959_at,0.4596027177163789,0.1445856370303244,0.3150170806860545,2,0.5959894025501726,0.4580471045930946,0.1324575568454589,0.4034778286249651
246550_at,266839_at,0.4590687627989183,0.46974900919872814,-0.010680246399809856,2,0.7756795276064634,-163.47217602237862,0.13267577357831797,0.4034778286249651
262290_at,248596_at,0.45961440541998455,0.4178252579434628,0.04178914747652174,2,0.8052386086638328,0.5516449390028381,0.1324575568454589,0.4034778286249651
267063_at,253039_at,0.4595633801678228,0.4449556522333282,0.014607727934494552,2,0.7009123433039144,0.4298023522628504,0.1324575568454589,0.4034778286249651
249941_at,247348_at,0.45958583645214285,0.38151213811582796,0.07807369833631489,2,0.512156009114063,0.3538480173636964,0.1324575568454589,0.4034778286249651
245936_at,248502_at,0.4594091016449592,0.488436259159503,-0.029027157514543822,2,0.5228081142639414,0.2180072475629129,0.13258848688517436,0.4034778286249651
263134_at,259990_s_at,0.45944001006985186,0.4433460491829573,0.016093960886894576,2,0.8198618698214055,0.4034796575260345,0.13258848688517436,0.4034778286249651
267115_s_at,253496_at,0.4587567556634076,0.33352934538691814,0.12522741027648948,2,0.8694520129461196,0.6531728515048711,0.1327194169248898,0.4034778286249651
267115_s_at,246998_at,0.4599226310092064,0.23003120209120922,0.22989142891799716,2,0.6024311398659636,0.5234918368083464,0.13237027015231528,0.4034778286249651
247348_at,266983_at,0.45880465690510763,0.3478760895688364,0.11092856733627121,2,0.5108526463475909,-295.4994145800801,0.1327194169248898,0.4034778286249651
