name,locus,annot,period_WT,period_toc1,dperiod,rev_nugap,rev_within,rev_r2_WT,rev_r2_toc1
266717_at,AT2G46735,unknown protein,24.0,21.75,-2.25,0.08412789816983818,0.06403572103837407,0.7204563174036371,0.8262445079634475
254145_at,AT4G24700,unknown protein,23.75,21.75,-2.0,0.0846629698677605,0.052772191917783096,0.7552037954333984,0.9120139503117386
250794_at,AT5G05270,chalcone-flavanone isomerase family protein,25.75,21.75,-4.0,0.0851481323821611,0.09032983641319353,0.5554530099872128,0.8341088289940641
254563_at,AT4G19120,ERD3 (EARLY-RESPONSIVE TO DEHYDRATION 3),23.5,21.5,-2.0,0.08550232240778191,0.10082700503465271,0.5702075431997983,0.7665121955760333
265939_at,AT2G19650,DC1 domain-containing protein,23.75,22.0,-1.75,0.08676648502321495,0.09948920410660536,0.5883578567603603,0.699565543407987
248759_at,AT5G47610,zinc finger (C3HC4-type RING finger) family protein,24.25,21.0,-3.25,0.08678711524910711,0.13871564909303108,0.7348703193785544,0.8789633171488174
259841_at,AT1G52200,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18470.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45876.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461),22.75,22.25,-0.5,0.08691078708547971,0.04746659026757316,0.7360679535296195,0.8495468113109763
247222_at,AT5G64840,ATGCN5 (Arabidopsis thaliana general control non-repressible 5),23.5,21.5,-2.0,0.08730212518922077,0.07570072873341291,0.5831368650688818,0.6435409353645474
259348_at,AT3G03770,"leucine-rich repeat transmembrane protein kinase, putative",23.25,22.25,-1.0,0.0886368921387312,0.029129930438785444,0.7307291836202511,0.9085071763187637
257794_at,AT3G27050,similar to unnamed protein product [Vitis vinifera] (GB:CAO49017.1),23.0,20.5,-2.5,0.08890308086333683,0.1384519921887752,0.5912098542957351,0.5170219929622266
255088_at,AT4G09350,DNAJ heat shock N-terminal domain-containing protein,24.0,23.0,-1.0,0.08955237917490456,0.11833134533505846,0.7333741136723743,0.7279431011453805
256894_at,AT3G21870,CYCP2;1 (cyclin p2;1); cyclin-dependent protein kinase,24.25,21.75,-2.5,0.08965114867945378,0.09114932033385326,0.76260708315535,0.9447591176177046
261226_at,AT1G20190,ATEXPA11 (ARABIDOPSIS THALIANA EXPANSIN A11),23.5,23.5,0.0,0.09031243710902294,0.3849109620131871,0.6160255831236092,0.6054580252757612
248377_at,AT5G51720,similar to Os07g0467200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059590.1); similar to hypothetical protein OsI_025030 [Oryza sativa (indica cultivar-group)] (GB:EAZ03798.1); contains domain PTHR13680 (PTHR13680); contains domain PTHR13680:SF1 (PTHR13680:SF1),22.75,20.5,-2.25,0.09184752382376188,0.1159237808408925,0.6888755284984913,0.5998100738951007
259968_at,AT1G76530,auxin efflux carrier family protein,24.5,21.75,-2.75,0.0923639453847542,0.17789130849555285,0.6900254504628089,0.9100861343105844
261804_at,AT1G30530,UDP-glucoronosyl/UDP-glucosyl transferase family protein,25.0,21.75,-3.25,0.09580678958034415,0.09291029166019064,0.5537583725658937,0.8743743061674767
253989_at,AT4G26130,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G56980.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN72576.1),24.0,21.25,-2.75,0.09631303539106767,0.06178534761935438,0.6191997620341837,0.7397791865719865
264636_at,AT1G65490,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G65486.1),23.5,22.0,-1.5,0.09907259809562748,0.10931909234656452,0.7328819655137764,0.9399145081227636
250099_at,AT5G17300,myb family transcription factor,23.5,20.75,-2.75,0.1007465667550596,0.12420583106117203,0.7504785402062492,0.8935279395016742
261031_at,AT1G17360,COP1-interacting protein-related,22.5,23.0,0.5,0.10200283247225918,0.21820226680174604,0.7138174177672293,0.8492721106524685
256379_at,AT1G66840,"Identical to Protein PLASTID MOVEMENT IMPAIRED 2 (PMI2) [Arabidopsis Thaliana] (GB:Q9C9N6); similar to PMI15 (plastid movement impaired 15) [Arabidopsis thaliana] (TAIR:AT5G38150.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN79831.1); contains InterPro domain Protein of unknown function DUF827, plant (InterPro:IPR008545)",23.25,23.0,-0.25,0.10267866459908144,0.1535260969217216,0.665934389907715,0.6982179396754578
259803_at,AT1G72150,PATL1 (PATELLIN 1); transporter,23.5,21.75,-1.75,0.10423464573832433,0.19078972906739167,0.6143023106914409,0.5578096941105585
246468_at,AT5G17050,UDP-glucoronosyl/UDP-glucosyl transferase family protein,25.0,22.75,-2.25,0.10448660450631411,0.12158423293012104,0.5277535263834539,0.768958769758255
247467_at,AT5G62130,Per1-like protein-related,23.5,22.5,-1.0,0.10457240926201179,0.196373997090676,0.7428170251110453,0.8558101049792501
249128_at,AT5G43440,"2-oxoglutarate-dependent dioxygenase, putative",23.5,21.25,-2.25,0.1047116799092251,0.1862782550344776,0.6034200229308133,0.728113820527466
250007_at,AT5G18670,BMY3 (BETA-AMYLASE 9); beta-amylase,23.75,21.0,-2.75,0.10506557075574098,0.10090869190467167,0.7050246787192936,0.8516178200375482
264692_at,AT1G70000,DNA-binding family protein,24.25,21.25,-3.0,0.10657078894993788,0.09899379711921072,0.6686439027691448,0.9210072016286619
256548_at,AT3G14770,nodulin MtN3 family protein,24.0,20.25,-3.75,0.10694642532386778,0.41118995931954494,0.6401834165862921,0.6822632190458049
253922_at,AT4G26850,VTC2 (VITAMIN C DEFECTIVE 2),24.75,22.0,-2.75,0.10800556922431442,0.02589456727772705,0.6919501521655111,0.9036528437972277
253581_at,AT4G30660,"hydrophobic protein, putative / low temperature and salt responsive protein, putative",24.0,20.75,-3.25,0.10822560967209005,0.15818577468382256,0.6349332607009868,0.5522464071019988
261832_at,AT1G10650,protein binding / zinc ion binding,23.75,23.0,-0.75,0.10951716623403464,0.16686278604143853,0.7065502182913359,0.8903591061866867
262826_at,AT1G13080,CYP71B2 (CYTOCHROME P450 71B2); oxygen binding,22.75,21.0,-1.75,0.11001595534558531,0.09042029003912555,0.5433849104155719,0.5531818391149341
255694_at,AT4G00050,UNE10 (unfertilized embryo sac 10); DNA binding / transcription factor,24.75,21.5,-3.25,0.11033301896434133,0.0658104010043862,0.5975562175355125,0.8609004325510963
251110_at,AT5G01260,glycoside hydrolase starch-binding domain-containing protein,24.5,22.0,-2.5,0.11050878278338516,0.05591320373693393,0.6227098637589428,0.908761943212692
247013_at,AT5G67480,BT4 (BTB AND TAZ DOMAIN PROTEIN 4); protein binding / transcription regulator,23.75,21.5,-2.25,0.11161890837413185,0.22378567048536915,0.5476980593245677,0.5775985880240155
264001_at,AT2G22420,peroxidase 17 (PER17) (P17),24.5,22.25,-2.25,0.11448020906237345,0.20419177865325716,0.5675759771209712,0.7409794573001545
265665_at,AT2G27420,"cysteine proteinase, putative",23.75,21.5,-2.25,0.1155216935459645,0.11151268804411997,0.7430229942144662,0.784027438442668
245038_at,AT2G26560,PLP2 (PHOSPHOLIPASE A 2A); nutrient reservoir,23.25,22.75,-0.5,0.11561636444673147,0.08916636246592163,0.6568337966193877,0.8039292788092085
248793_at,AT5G47240,ATNUDT8 (Arabidopsis thaliana Nudix hydrolase homolog 8); hydrolase,23.25,21.75,-1.5,0.11760839680908992,0.13010321996783655,0.5854352353656801,0.5534011105097789
246069_at,AT5G20220,zinc knuckle (CCHC-type) family protein,24.0,21.25,-2.75,0.12042432197947789,0.09041112027086853,0.6731506324420344,0.8291178954678643
267361_at,AT2G39920,acid phosphatase class B family protein,25.0,21.25,-3.75,0.1209149891182998,0.15077696963786005,0.5293370142584573,0.7288821641486329
258621_at,AT3G02830,ZFN1 (ZINC FINGER PROTEIN 1); nucleic acid binding,24.0,22.25,-1.75,0.12098398169056579,0.05424963342639043,0.7052502580503756,0.92792353277505
250666_at,AT5G07100,WRKY26 (WRKY DNA-binding protein 26); transcription factor,23.25,22.0,-1.25,0.12195130857845454,0.19054218699625408,0.6628891913721837,0.7718044619460616
247977_at,AT5G56850,similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96358.1),23.0,23.25,0.25,0.12241357983313002,0.31930453349596094,0.5350819115160814,0.7834724017469318
252011_at,AT3G52720,carbonic anhydrase family protein,24.5,23.0,-1.5,0.12387406987146958,0.12206781171894894,0.6752906109902735,0.8484352822519505
245479_at,AT4G16140,proline-rich family protein,23.75,23.5,-0.25,0.12482321829418563,0.15778022937014965,0.5818163273301508,0.8129033820011947
256627_at,AT3G19970,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G18245.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66476.1); contains InterPro domain Protein of unknown function DUF829, eukaryotic (InterPro:IPR008547)",25.75,21.75,-4.0,0.12700286069917274,0.16412063754512848,0.6510342807656075,0.7772397246991661
265990_at,AT2G24280,serine carboxypeptidase S28 family protein,23.25,22.5,-0.75,0.1286179243313155,0.14713926212254744,0.7942106795933362,0.9153850241107288
267115_s_at,AT2G32540;AT2G32530,"[AT2G32540, ATCSLB04 (Cellulose synthase-like B4); transferase/ transferase, transferring glycosyl groups];[AT2G32530, ATCSLB03 (Cellulose synthase-like B3); transferase/ transferase, transferring glycosyl groups]",23.75,21.0,-2.75,0.12863813125191634,0.16257643933887175,0.6737630909841489,0.8886495709451581
254835_s_at,AT4G12320;AT4G12310,"[AT4G12320, CYP706A6 (cytochrome P450, family 706, subfamily A, polypeptide 6); oxygen binding];[AT4G12310, CYP706A5 (cytochrome P450, family 706, subfamily A, polypeptide 5); oxygen binding]",24.0,22.75,-1.25,0.12972265323730472,0.33580741346152143,0.5371824717877051,0.8393057067292959
254328_at,AT4G22570,APT3 (ADENINE PHOSPHORIBOSYL TRANSFERASE 3); adenine phosphoribosyltransferase,23.5,21.0,-2.5,0.1314618073895224,0.2352529064402326,0.5309025602891488,0.576604146172029
246021_at,AT5G21100,"L-ascorbate oxidase, putative",23.0,23.0,0.0,0.13354568013273305,0.34607794945274595,0.5790153681681508,0.7198584237182327
252911_at,AT4G39510,"CYP96A12 (cytochrome P450, family 96, subfamily A, polypeptide 12); oxygen binding",23.0,22.5,-0.5,0.13659150377571924,0.15419493179392632,0.5240178242076795,0.6643913916278914
260308_at,AT1G70610,"ATTAP1 (Arabidopsis thaliana transporter associated with antigen processing protein 1); ATPase, coupled to transmembrane movement of substances",23.75,21.25,-2.5,0.14164409480106036,0.048421217876548434,0.7105068316170412,0.7842496290002691
261230_at,AT1G20010,TUB5 (tubulin beta-5 chain),24.0,21.75,-2.25,0.14170884010478182,0.14419910355408944,0.6378252120228329,0.7982634469883125
253039_at,AT4G37760,SQE3 (SQUALENE EPOXIDASE 3); oxidoreductase,23.75,21.25,-2.5,0.14291942744830707,0.17496945933085822,0.5020848122676874,0.5258964047903019
263412_at,AT2G28720,"histone H2B, putative",24.75,21.25,-3.5,0.14306986309031608,0.18832728342244764,0.5389423181776696,0.8008613107924559
247486_at,AT5G62140,similar to unknown [Populus trichocarpa] (GB:ABK94834.1),24.25,22.75,-1.5,0.14504829223355278,0.19903554473140153,0.6285789963588981,0.8326717154579869
262875_at,AT1G64970,G-TMT (GAMMA-TOCOPHEROL METHYLTRANSFERASE),24.5,23.0,-1.5,0.14937326088858546,0.14391015492360382,0.6349492865624642,0.7876717487856977
254305_at,AT4G22200,AKT2 (Arabidopsis K+ transporter 2); cyclic nucleotide binding / inward rectifier potassium channel,23.5,23.0,-0.5,0.15003460973373597,0.16866699168758956,0.7820894969515294,0.9155913843454935
267524_at,AT2G30600,BTB/POZ domain-containing protein,24.75,22.25,-2.5,0.1510846771451835,0.0896558072599126,0.578287653051447,0.8717600581253515
260489_at,AT1G51610,"cation efflux family protein / metal tolerance protein, putative (MTPc4)",25.0,21.75,-3.25,0.15257685173448376,0.06746393996895893,0.5074636588418291,0.822305193731378
259922_at,AT1G72770,HAB1 (HOMOLOGY TO ABI1); protein serine/threonine phosphatase,24.5,22.25,-2.25,0.1530585817733572,0.19228191261034588,0.7745989487146916,0.828478600041054
265892_at,AT2G15020,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G64190.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN67723.1),23.75,21.75,-2.0,0.15355632207078268,0.12624101622007008,0.7420885520671804,0.7031782846170254
261907_at,AT1G65060,4CL3 (4-coumarate:CoA ligase 3); 4-coumarate-CoA ligase,25.25,22.0,-3.25,0.15361623248365616,0.031169466214744968,0.5455493694648765,0.8691451131601343
266864_at,AT2G26800,"hydroxymethylglutaryl-CoA lyase, putative / 3-hydroxy-3-methylglutarate-CoA lyase, putative / HMG-CoA lyase, putative",23.5,21.0,-2.5,0.15442569254287944,0.27621404574334874,0.5710695596038533,0.5059034988022431
263249_at,AT2G31360,ADS2 (16:0DELTA9 ARABIDOPSIS DESATURASE 2); oxidoreductase,23.25,22.0,-1.25,0.15448735834020463,0.12034047004841596,0.6259513684701562,0.7684783827300725
258299_at,AT3G23410,alcohol oxidase-related,24.25,23.25,-1.0,0.1545604206327695,0.09241157189520932,0.7139321864322237,0.7883899186584754
265722_at,AT2G40100,LHCB4.3 (LIGHT HARVESTING COMPLEX PSII); chlorophyll binding,23.75,21.75,-2.0,0.1546456147714072,0.16168426818138815,0.7403447159589354,0.8788255041683736
263410_at,AT2G04039,similar to unnamed protein product [Vitis vinifera] (GB:CAO41070.1),23.25,21.5,-1.75,0.15480766869047155,0.0628243438574291,0.6952077977914828,0.7680250483431668
264898_at,AT1G23205,invertase/pectin methylesterase inhibitor family protein,22.75,21.75,-1.0,0.1593063892118582,0.11156815049955626,0.8345851049096605,0.7334927165634832
246125_at,AT5G19875,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G31940.1); similar to hypothetical protein MtrDRAFT_AC155880g29v2 [Medicago truncatula] (GB:ABN08129.1),25.0,24.0,-1.0,0.16265204147533238,0.14868371326593122,0.5762878652524868,0.8105045682628021
246998_at,AT5G67370,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G11840.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75014.1); contains InterPro domain Protein of unknown function DUF1230 (InterPro:IPR009631),23.75,22.25,-1.5,0.16506258310802682,0.12639436086169087,0.6367722392260917,0.7395621538050031
257451_at,AT1G05690,BT3 (BTB and TAZ domain protein 3); protein binding / transcription regulator,24.5,21.25,-3.25,0.1658041619761789,0.2067606102813892,0.6681211890470571,0.9039123378716915
247848_at,AT5G58120,"disease resistance protein (TIR-NBS-LRR class), putative",23.25,21.5,-1.75,0.16641993581773856,0.19393265602533977,0.8379484032667663,0.7953069253716163
