Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
245563_at,AT4G14580,CIPK4 (CBL-INTERACTING PROTEIN KINASE 4); kinase,22.2,21.799999999999997,-0.40000000000000213,1.3031522846690151,0.0503,0.0481,0.0451,0.0577,True,True,invariant,True
259841_at,AT1G52200,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18470.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45876.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461),22.7,22.3,-0.3999999999999986,3.024154387800915,0.0107,0.0055,0.0275,0.0444,True,True,invariant,True
252387_at,AT3G47800,aldose 1-epimerase family protein,23.75,23.4,-0.3500000000000014,1.857657655618965,0.0109,0.0066,0.0256,0.0122,True,True,invariant,True
260303_at,AT1G70520,protein kinase family protein,23.1,22.75,-0.3500000000000014,1.0774525983999652,0.0237,0.0773,0.0309,0.099,True,True,invariant,True
254592_at,AT4G18880,AT-HSFA4A (Arabidopsis thaliana heat shock transcription factor A4A); DNA binding / transcription factor,24.0,23.65,-0.3500000000000014,1.1255799079986648,0.0204,0.0192,0.0163,0.0763,True,True,invariant,True
254680_at,AT4G18130,PHYE (PHYTOCHROME DEFECTIVE E); G-protein coupled photoreceptor/ signal transducer,23.25,22.9,-0.3500000000000014,1.6910492029301807,0.0486,0.0123,0.0462,0.0133,True,True,invariant,True
266483_at,AT2G47910,CRR6 (CHLORORESPIRATORY REDUCTION 6),23.6,23.25,-0.3500000000000014,1.0666418543540752,0.0175,0.0279,0.025,0.01,True,True,invariant,True
246114_at,AT5G20250,"DIN10 (DARK INDUCIBLE 10); hydrolase, hydrolyzing O-glycosyl compounds",23.0,22.65,-0.3500000000000014,2.812162726139005,0.0157,0.0211,0.0993,0.0234,True,True,invariant,True
258724_at,AT3G09600,myb family transcription factor,23.55,23.2,-0.3500000000000014,3.0144201477510197,0.0069,0.0286,0.0088,0.0157,True,True,invariant,True
260264_at,AT1G68500,similar to hypothetical protein [Vitis vinifera] (GB:CAN66643.1),23.299999999999997,22.95,-0.34999999999999787,1.4358475351693305,0.0161,0.0287,0.0464,0.0493,True,True,invariant,True
253263_at,AT4G34000,ABF3/DPBF5 (ABSCISIC ACID RESPONSIVE ELEMENTS-BINDING FACTOR 3); DNA binding / protein binding / transcription activator/ transcription factor,23.2,22.85,-0.34999999999999787,1.45230421589115,0.0659,0.0075,0.012,0.0837,True,True,invariant,True
265440_at,AT2G20960,pEARLI4,23.15,22.8,-0.34999999999999787,0.8272666503240051,0.0138,0.0317,0.0141,0.0508,True,True,invariant,True
261226_at,AT1G20190,ATEXPA11 (ARABIDOPSIS THALIANA EXPANSIN A11),23.6,23.3,-0.3000000000000007,2.2512150337994146,0.0103,0.0153,0.0277,0.02,True,True,invariant,True
256792_at,AT3G22150,pentatricopeptide (PPR) repeat-containing protein,24.2,23.9,-0.3000000000000007,1.1654844111635598,0.0101,0.0214,0.0765,0.0421,True,True,invariant,True
248337_at,AT5G52310,COR78 (COLD REGULATED 78),23.55,23.25,-0.3000000000000007,3.1996744184050847,0.0186,0.0139,0.0552,0.0231,True,True,invariant,True
251399_at,AT3G60590,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G48460.1); similar to unknown [Populus trichocarpa x Populus deltoides] (GB:ABK96523.1),23.3,23.0,-0.3000000000000007,1.1192647212294453,0.0174,0.0101,0.067,0.038,True,True,invariant,True
264696_at,AT1G70230,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G01430.1); similar to Os09g0375300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063036.1); similar to Os06g0235200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057240.1); similar to leaf senescence protein-like [Oryza sativa (japonica cultivar-group)] (GB:BAD26032.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)",25.6,25.3,-0.3000000000000007,1.2873253756160596,0.0164,0.0129,0.0444,0.0643,True,True,invariant,True
258332_at,AT3G16180,proton-dependent oligopeptide transport (POT) family protein,23.05,22.75,-0.3000000000000007,1.8644480211890548,0.0106,0.0173,0.0226,0.0185,True,True,invariant,True
263664_at,AT1G04250,AXR3 (AUXIN RESISTANT 3); transcription factor,24.8,24.5,-0.3000000000000007,1.5769431208292497,0.0093,0.0095,0.0105,0.0132,True,True,invariant,True
256902_s_at,AT3G23910;AT3G24255,"[AT3G23910, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G24255.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43499.1)];[AT3G24255, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G23910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43499.1); contains InterPro domain RNA-directed DNA polymerase (reverse transcriptase), related (InterPro:IPR015706)]",23.65,23.35,-0.29999999999999716,1.2000076537664048,0.0112,0.0225,0.012,0.024,True,True,invariant,True
259965_at,AT1G53670,MSRB1 (METHIONINE SULFOXIDE REDUCTASE B 1); peptide-methionine-(S)-S-oxide reductase,22.799999999999997,22.5,-0.29999999999999716,0.9964109994551738,0.0144,0.0242,0.0155,0.0233,True,True,invariant,True
259790_s_at,AT1G29430;AT5G27780,"[AT1G29430, auxin-responsive family protein];[AT5G27780, auxin-responsive family protein]",23.15,22.85,-0.29999999999999716,3.1298390256752,0.0105,0.0085,0.0498,0.0139,True,True,invariant,True
250549_at,AT5G07860,transferase family protein,23.65,23.35,-0.29999999999999716,0.9192442983804696,0.0768,0.0218,0.0209,0.0117,True,True,invariant,True
267299_at,AT2G30150,UDP-glucoronosyl/UDP-glucosyl transferase family protein,22.05,21.799999999999997,-0.25000000000000355,1.2996895278677703,0.0272,0.0132,0.0442,0.0779,True,True,invariant,True
259842_at,AT1G73602;AT1G73600,"[AT1G73602, CPuORF32 (Conserved peptide upstream open reading frame 32)];[AT1G73600, phosphoethanolamine N-methyltransferase]",23.85,23.6,-0.25,2.3183904284754044,0.0242,0.0102,0.0562,0.0377,True,True,invariant,True
265334_at,AT2G18370,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,22.95,22.7,-0.25,3.4506274354819793,0.0991,0.0214,0.0707,0.022,True,True,invariant,True
260362_at,AT1G70530,protein kinase family protein,24.05,23.8,-0.25,1.4964660426861651,0.0159,0.0294,0.0235,0.029,True,True,invariant,True
250095_at,AT5G17230,PSY (PHYTOENE SYNTHASE); geranylgeranyl-diphosphate geranylgeranyltransferase,23.700000000000003,23.450000000000003,-0.25,1.8218000102557905,0.0134,0.0162,0.0128,0.0983,True,True,invariant,True
263755_at,AT2G21340,"enhanced disease susceptibility protein, putative / salicylic acid induction deficient protein, putative",22.7,22.45,-0.25,1.449734767755559,0.0147,0.0249,0.0319,0.0302,True,True,invariant,True
252076_at,AT3G51660,macrophage migration inhibitory factor family protein / MIF family protein,23.5,23.299999999999997,-0.20000000000000284,1.6403649716318651,0.0561,0.0137,0.0141,0.0599,True,True,invariant,True
261491_at,AT1G14350,FLP (FOUR LIPS); DNA binding / transcription factor,23.700000000000003,23.5,-0.20000000000000284,1.2959699366067898,0.0928,0.0202,0.0275,0.0617,True,True,invariant,True
263184_at,AT1G05560,"UGT1 (UDP-glucosyl transferase 75B1); UDP-glycosyltransferase/ transferase, transferring glycosyl groups",21.85,21.65,-0.20000000000000284,1.2636133409844192,0.0903,0.0251,0.0417,0.0233,True,True,invariant,True
254924_at,AT4G11330,ATMPK5 (MAP KINASE 5); MAP kinase/ kinase,22.7,22.5,-0.1999999999999993,1.1353590926331552,0.0091,0.0312,0.0604,0.0204,True,True,invariant,True
247891_at,AT5G57960,GTP-binding family protein,23.049999999999997,22.85,-0.19999999999999574,1.8417684508010903,0.0228,0.0069,0.021,0.0782,True,True,invariant,True
267516_at,AT2G30520,RPT2 (ROOT PHOTOTROPISM 2); protein binding,24.200000000000003,24.049999999999997,-0.15000000000000568,2.33945850788105,0.0105,0.0125,0.0152,0.0133,True,True,invariant,True
255904_at,AT1G17860,trypsin and protease inhibitor family protein / Kunitz family protein,23.1,22.95,-0.15000000000000213,1.796434125407325,0.0498,0.0349,0.0987,0.0799,True,True,invariant,True
